SalePrice LotFrontage LotArea OverallQual OverallCond YearBuilt YearRemod/Add MasVnrArea BsmtFinSF1 BsmtFinSF2 BsmtUnfSF 1stFlrSF 2ndFlrSF LowQualFinSF BsmtFullBath BsmtHalfBath FullBath HalfBath BedroomAbvGr KitchenAbvGr TotRmsAbvGrd Fireplaces GarageCars GarageArea WoodDeckSF OpenPorchSF EnclosedPorch 3SsnPorch ScreenPorch PoolArea MiscVal MoSold YrSold LotShape LandSlope Railroad ExterQual ExterCond BsmtQual BsmtCond BsmtExposure CentralAir KitchenQual Functional FireplaceQu GarageFinish GarageQual GarageCond PavedDrive Fence
175900 75 10000 6 5 1993 1994 0 0 0 763 763 892 0 0 0 2 1 3 1 7 1 2 440 157 84 0 0 0 0 0 4 2010 1 0 0 3 3 4 3 1 1 3 8 3 3 3 3 2 0
185000 0 7980 6 7 1992 2007 0 935 0 233 1187 0 0 1 0 2 0 3 1 6 0 2 420 483 21 0 0 0 0 500 3 2010 1 0 0 3 4 4 3 1 1 3 8 0 3 3 3 2 4
180400 63 8402 6 5 1998 1998 0 0 0 789 789 676 0 0 0 2 1 3 1 7 1 2 393 0 75 0 0 0 0 0 5 2010 1 0 0 3 3 4 3 1 1 3 8 4 3 3 3 2 0
171500 85 10176 7 5 1990 1990 0 637 0 663 1341 0 0 1 0 1 1 2 1 5 1 2 506 192 0 0 0 0 0 0 2 2010 0 0 0 3 3 4 3 4 1 4 8 1 1 3 3 2 0
212000 0 6820 8 5 1985 1985 0 368 1120 0 1502 0 0 1 0 1 1 1 1 4 0 2 528 0 54 0 0 140 0 0 6 2010 1 0 0 4 3 4 3 3 1 4 8 0 2 3 3 2 0
538000 47 53504 8 5 2003 2003 603 1416 0 234 1690 1589 0 1 0 3 1 4 1 12 1 3 841 503 36 0 0 210 0 0 6 2010 2 1 0 5 3 4 3 4 1 5 6 4 3 3 3 2 0
164000 152 12134 8 7 1988 2005 0 427 0 132 1080 672 0 0 0 2 0 4 1 8 0 2 492 325 12 0 0 0 0 0 6 2010 1 1 0 4 3 4 3 3 1 3 8 0 2 3 3 2 0
394432 88 11394 9 2 2010 2010 350 1445 0 411 1856 0 0 1 0 1 1 1 1 8 1 3 834 113 0 0 0 0 0 0 6 2010 0 0 0 4 3 5 3 3 1 5 8 5 3 3 3 2 0
141000 140 19138 4 5 1951 1951 0 120 0 744 864 0 0 0 0 1 0 2 1 4 0 2 400 0 0 0 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 0
210000 85 13175 6 6 1978 1988 119 790 163 589 2073 0 0 1 0 2 0 3 1 7 2 2 500 349 0 0 0 0 0 0 2 2010 0 0 0 3 3 4 3 1 1 3 8 3 1 3 3 2 3
190000 105 11751 6 6 1977 1977 480 705 0 1139 1844 0 0 0 0 2 0 3 1 7 1 2 546 0 122 0 0 0 0 0 1 2010 1 0 0 3 3 4 3 1 1 3 8 3 2 3 3 2 3
170000 85 10625 7 6 1974 1974 81 885 168 0 1173 0 0 1 0 2 0 3 1 6 2 2 528 0 120 0 0 0 0 0 1 2010 0 0 0 3 3 4 3 4 1 4 8 3 2 3 3 2 3
216000 0 7500 7 5 2000 2000 0 533 0 281 814 860 0 1 0 2 1 3 1 7 0 2 663 0 96 0 0 0 0 0 1 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
149000 0 11241 6 7 1970 1970 180 578 0 426 1004 0 0 1 0 1 0 2 1 5 1 2 480 0 0 0 0 0 0 700 3 2010 1 0 0 3 3 3 3 1 1 3 8 3 3 3 3 2 0
149900 0 12537 5 6 1971 2008 0 734 0 344 1078 0 0 1 0 1 1 3 1 6 1 2 500 0 0 0 0 0 0 0 4 2010 1 0 0 3 3 3 3 1 1 3 8 2 3 3 3 2 0
142000 65 8450 5 6 1968 1968 0 775 0 281 1056 0 0 1 0 1 0 3 1 6 1 1 304 0 85 184 0 0 0 0 7 2010 0 0 0 3 3 3 3 1 1 3 8 2 1 3 3 2 0
126000 70 8400 4 5 1970 1970 0 804 78 0 882 0 0 1 0 1 0 2 1 4 0 2 525 240 0 0 0 0 0 0 4 2010 0 0 0 3 3 3 3 1 1 3 8 0 3 3 3 2 3
115000 70 10500 4 5 1971 1971 0 432 0 432 864 0 0 0 0 1 0 3 1 5 1 0 0 0 0 0 0 0 0 0 4 2010 0 0 0 3 3 3 3 1 1 3 8 1 0 0 0 2 0
184000 26 5858 7 5 1999 1999 0 1051 0 354 1337 0 0 1 0 2 0 2 1 5 1 2 511 203 68 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 2 3 3 3 2 0
96000 21 1680 6 5 1971 1971 504 156 0 327 483 504 0 0 0 1 1 2 1 5 0 1 264 275 0 0 0 0 0 0 2 2010 0 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 0
105500 21 1680 5 5 1971 1971 492 300 0 225 525 567 0 0 0 1 1 3 1 6 0 1 320 0 0 0 0 0 0 0 3 2010 0 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 0
88000 21 1680 6 5 1971 1971 381 0 0 525 525 567 0 0 0 1 1 3 1 6 0 1 264 0 0 0 0 0 0 0 3 2010 0 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 0
127500 53 4043 6 5 1977 1977 0 360 0 709 1069 0 0 0 0 2 0 2 1 4 1 2 440 0 55 0 0 165 0 0 7 2010 0 0 0 3 3 4 3 1 1 3 8 2 2 3 3 2 0
149900 24 2280 6 6 1975 1975 0 514 0 341 855 601 0 0 0 2 1 3 1 6 1 2 440 173 0 0 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 4 8 3 1 3 3 2 0
120000 24 2280 7 6 1975 1975 0 0 0 836 836 0 0 0 0 1 0 2 1 4 0 1 308 0 30 0 0 0 0 0 6 2010 0 0 0 3 3 4 3 1 1 3 8 0 1 3 3 2 0
146000 24 2280 6 5 1978 1978 0 311 0 544 855 601 0 0 0 2 1 3 1 7 1 2 440 26 0 0 0 0 0 0 7 2010 0 0 0 3 3 4 3 1 1 3 8 3 1 3 3 2 0
376162 102 12858 9 5 2009 2010 162 0 0 1590 1627 707 0 0 0 2 1 3 1 10 1 3 751 144 133 0 0 0 0 0 1 2010 1 0 0 5 3 5 3 1 1 5 8 4 3 3 3 2 0
306000 98 11478 8 5 2007 2008 200 1218 0 486 1704 0 0 1 0 2 0 3 1 7 1 3 772 0 50 0 0 0 0 0 5 2010 0 0 0 4 3 5 3 1 1 4 8 4 2 3 3 2 0
395192 83 10159 9 5 2009 2010 450 1646 0 284 1940 0 0 1 0 2 1 3 1 8 1 3 606 168 95 0 0 0 0 0 4 2010 1 0 0 5 3 5 3 3 1 5 8 4 3 3 3 2 0
290941 94 12883 8 5 2009 2010 256 0 0 1544 1544 0 0 0 0 2 0 3 1 7 0 3 868 0 35 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
220000 95 12182 7 5 2005 2005 226 1201 0 340 1541 0 0 0 0 2 0 3 1 7 1 2 532 0 70 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 2 1 4 8 4 2 3 3 2 0
275000 90 11520 9 5 2005 2005 615 110 0 1588 1698 0 0 0 0 2 0 3 1 7 1 3 730 192 74 0 0 0 0 0 6 2010 0 0 0 4 3 5 3 1 1 5 8 4 3 3 3 2 0
259000 79 14122 8 5 2005 2006 240 28 0 1794 1822 0 0 0 0 2 0 3 1 8 1 3 678 0 119 0 0 0 0 0 2 2010 1 0 0 4 3 5 3 1 1 5 8 4 2 3 3 2 0
214000 70 10171 7 5 2004 2004 168 2 0 1515 1535 0 0 0 0 2 0 3 1 7 0 2 532 0 0 0 0 0 0 0 3 2010 1 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
611657 100 12919 9 5 2009 2010 760 2188 0 142 2364 0 0 1 0 2 1 2 1 11 2 3 820 0 67 0 0 0 0 0 3 2010 1 0 0 5 3 5 3 4 1 5 8 4 3 3 3 2 0
224000 44 6371 7 5 2009 2010 128 733 0 625 1358 0 0 1 0 2 0 2 1 6 1 2 484 192 35 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 2 1 4 8 4 2 3 3 2 0
5e+05 110 14300 9 5 2003 2004 1095 1373 0 1473 2696 0 0 1 0 2 1 3 1 10 2 3 958 220 150 0 0 0 0 0 6 2010 0 1 0 5 3 5 3 4 1 5 8 4 3 3 3 2 0
320000 105 13650 8 5 2002 2002 232 578 0 1093 1687 563 0 1 0 2 1 3 1 7 1 3 756 238 130 0 0 0 0 0 6 2010 0 0 0 4 3 4 3 4 1 4 8 5 3 3 3 2 0
319900 61 7658 9 5 2005 2005 412 456 0 1296 1752 0 0 1 0 2 0 2 1 6 1 2 576 196 82 0 0 0 0 0 2 2010 0 0 0 5 3 5 3 1 1 5 8 4 2 3 3 2 0
205000 41 7132 8 5 2006 2006 178 24 0 1346 1370 0 0 0 0 2 0 2 1 6 1 2 484 120 49 0 0 0 0 0 4 2010 1 0 0 4 3 4 3 2 1 4 8 4 2 3 3 2 0
175500 36 2628 7 5 2003 2003 106 0 0 764 764 862 0 0 0 2 1 2 1 6 0 2 474 0 27 0 0 0 0 0 6 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
199500 100 18494 6 5 2005 2005 0 0 0 1324 1324 0 0 0 0 2 0 3 1 6 0 2 430 36 23 0 0 0 0 0 1 2010 1 0 0 4 3 4 3 1 1 4 8 0 3 3 3 2 0
160000 43 3203 7 5 2006 2006 14 16 0 1129 1145 0 0 0 0 2 0 2 1 6 0 2 437 100 116 0 0 0 0 0 1 2010 0 0 0 4 3 4 3 3 1 4 8 0 3 3 3 2 0
192000 43 3182 8 5 2004 2005 16 24 0 1232 1269 0 0 0 0 2 0 2 1 6 1 2 430 146 20 0 0 144 0 0 4 2010 0 0 0 4 3 4 3 1 1 4 8 3 3 3 3 2 0
184500 67 13300 7 5 2004 2004 0 326 0 58 744 630 0 1 0 2 1 3 1 7 1 2 400 100 0 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 4 3 3 3 2 0
216500 0 7851 6 5 2002 2002 0 625 0 235 860 1100 0 1 0 2 1 4 1 8 2 2 440 288 48 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 1 1 4 8 3 3 3 3 2 0
185088 63 8577 7 5 2004 2004 0 0 0 847 847 886 0 0 0 2 1 3 1 7 1 2 433 144 48 0 0 0 0 0 4 2010 1 0 0 4 3 4 3 1 1 4 8 4 3 3 3 2 0
180000 0 7750 7 5 2000 2000 0 250 0 134 774 656 0 0 0 2 1 3 1 7 1 2 400 180 0 0 0 0 0 0 4 2010 1 0 0 3 3 4 3 1 1 3 8 3 3 3 3 2 0
222500 0 9505 7 5 2001 2001 180 0 0 884 884 1151 0 0 0 2 1 3 1 8 1 2 434 144 48 0 0 0 0 0 5 2010 1 0 0 4 3 4 3 1 1 4 8 4 3 3 3 2 0
333168 108 14774 9 5 1999 1999 165 0 0 1393 1422 1177 0 0 0 2 1 4 1 10 1 3 779 668 30 0 0 0 0 0 5 2010 1 0 0 4 3 4 3 1 1 4 8 3 3 3 3 2 0
355000 60 17433 8 5 1998 1998 114 0 0 1629 1645 830 0 0 0 2 1 4 1 7 1 3 962 23 172 0 0 256 0 0 1 2010 2 0 0 4 3 5 3 1 1 4 8 3 3 3 3 2 0
260400 59 10593 7 5 1996 1996 338 919 0 801 1720 0 0 1 0 2 0 3 1 7 1 2 527 240 56 154 0 0 0 0 3 2010 1 0 0 4 3 4 3 1 1 4 8 3 3 3 3 2 0
325000 98 12256 8 5 1994 1995 362 1032 0 431 1500 1122 0 1 0 2 1 3 1 9 2 2 712 186 32 0 0 0 0 0 4 2010 1 0 0 4 3 5 3 3 1 4 8 3 2 3 3 2 0
290000 92 11764 8 7 1999 2007 348 524 0 628 1164 1106 0 0 0 2 1 4 1 9 1 3 671 132 57 0 0 0 0 0 4 2010 1 0 0 4 3 4 3 1 1 4 8 4 3 3 3 2 0
221000 58 16770 7 5 1998 1998 30 0 0 1195 1195 644 0 0 0 2 1 4 1 7 0 2 486 0 81 0 0 0 0 0 6 2010 2 0 0 4 3 4 3 1 1 3 8 0 3 3 3 2 0
410000 56 14720 8 5 1995 1996 579 816 0 1217 2053 1185 0 1 0 2 1 4 1 9 1 3 666 283 86 0 0 0 0 0 3 2010 1 0 0 4 3 4 3 3 1 4 8 5 3 3 3 2 0
204500 92 9215 7 5 2009 2010 0 0 0 1218 1218 0 0 0 0 2 0 2 1 4 0 2 676 0 136 0 0 0 0 0 4 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
215200 72 8640 7 5 2009 2009 0 24 0 732 764 783 0 0 0 2 1 3 1 7 0 2 614 169 45 0 0 0 0 0 6 2010 0 0 0 3 3 4 3 2 1 4 8 0 1 3 3 2 0
262500 75 9000 8 5 2008 2008 36 1078 0 488 1566 0 0 1 0 2 0 3 1 7 0 2 750 144 168 0 0 0 0 0 4 2010 0 0 0 4 3 4 3 3 1 4 8 0 2 3 3 2 0
254900 100 12552 7 5 2004 2005 0 222 0 769 991 956 0 0 0 2 1 3 1 8 1 2 678 0 136 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 1 1 4 8 4 2 3 3 2 2
271500 84 10440 6 5 2005 2005 0 1414 0 54 1468 0 0 1 0 2 0 2 1 6 1 2 528 0 102 0 0 216 0 0 5 2010 0 0 0 4 3 5 3 1 1 4 8 4 3 3 3 2 0
233000 76 10142 7 5 2004 2004 0 656 0 300 956 1128 0 1 0 2 1 4 1 8 0 2 618 0 45 0 0 0 0 0 1 2010 1 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
181000 70 11920 7 5 2004 2004 122 0 0 831 831 828 0 0 0 2 1 3 1 8 0 2 484 144 68 0 0 0 0 0 4 2010 0 0 0 4 3 4 3 3 1 4 8 0 2 3 3 2 0
205000 0 8880 7 5 1994 2002 0 695 0 253 1222 888 0 1 0 2 1 3 1 8 2 2 463 0 130 0 0 0 0 0 5 2010 1 0 0 4 3 4 3 1 1 4 8 2 2 3 3 2 0
143000 50 8012 6 5 1980 1980 0 543 119 261 923 0 0 0 0 2 0 2 1 5 1 1 264 80 0 0 0 0 0 0 5 2010 0 0 0 3 3 4 3 1 1 3 8 3 2 3 3 2 0
189000 70 11218 6 5 1992 1992 0 0 0 1055 1055 790 0 0 0 2 1 3 1 8 1 2 462 635 104 0 0 0 0 400 5 2010 0 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 4
99500 55 7892 6 5 1979 1979 0 0 0 918 918 0 0 0 0 2 0 2 1 5 1 1 264 28 0 0 0 0 0 0 4 2010 0 0 0 3 3 4 3 1 1 3 8 3 1 3 3 2 0
125000 50 7175 6 5 1984 1984 0 623 121 0 752 0 0 1 0 1 0 2 1 4 0 1 264 353 0 0 0 90 0 0 2 2010 0 0 0 3 3 4 3 1 1 3 8 0 1 3 3 2 3
194500 0 9453 7 7 1993 2003 0 402 0 594 1014 730 0 0 0 2 1 3 1 7 0 2 457 370 70 0 238 0 0 0 2 2010 1 0 1 4 3 4 3 1 1 4 8 0 2 3 3 2 0
152000 81 9672 6 5 1984 1985 0 338 0 702 1097 0 0 0 0 2 0 3 1 6 0 2 480 0 0 0 0 0 0 0 5 2010 0 0 0 3 3 4 3 1 1 3 8 0 1 3 3 2 4
171000 70 8400 6 6 1980 1981 130 0 0 650 888 676 0 0 0 2 1 3 1 7 1 2 476 0 50 0 0 204 0 0 4 2010 0 0 0 3 3 4 3 1 1 3 8 3 1 3 3 2 3
67500 70 9800 5 5 1920 1950 0 0 0 816 1012 0 0 0 0 1 0 2 1 5 0 1 429 121 0 80 0 0 0 0 4 2010 0 0 0 3 2 3 3 1 0 3 8 0 1 3 3 2 0
112000 68 8930 6 5 1978 1978 0 0 0 0 1318 584 0 0 0 2 0 4 2 8 0 2 539 0 0 0 0 0 0 0 4 2010 0 0 1 3 3 0 0 0 1 3 8 0 1 3 3 2 0
148000 88 11782 5 7 1961 1995 0 899 0 210 1155 0 0 1 0 1 0 3 1 6 0 2 576 192 0 0 0 0 0 400 6 2010 1 0 0 3 3 3 3 3 1 4 7 0 1 3 3 2 3
138500 65 8450 5 8 1965 2009 0 553 117 224 894 0 0 1 0 1 0 3 1 5 1 1 336 416 144 0 0 0 0 0 4 2010 0 0 1 3 4 3 3 1 1 3 8 4 1 3 3 2 3
122000 0 9819 5 5 1967 1967 31 450 0 432 900 0 0 0 0 1 0 3 1 5 0 1 280 0 0 0 0 0 0 0 2 2010 1 0 0 3 4 3 3 1 1 3 8 0 1 3 3 2 3
133000 75 7500 5 5 1963 1963 0 824 0 216 1040 0 0 1 0 1 1 3 1 5 0 1 308 0 0 220 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 3 8 0 3 3 3 2 3
127000 0 6897 5 8 1962 2010 0 659 0 381 1040 0 0 1 0 1 1 3 1 6 0 1 260 0 104 0 0 0 0 0 4 2010 1 0 0 3 4 3 3 1 1 3 8 0 1 3 3 2 0
169000 39 15410 6 6 1974 2002 250 126 859 223 1494 0 0 1 0 2 0 3 1 7 2 2 461 296 0 186 0 0 0 0 4 2010 1 0 1 3 4 3 3 4 1 3 8 2 3 3 3 2 4
190000 107 10186 7 5 1992 1992 0 674 0 76 1061 862 0 1 0 2 1 3 1 8 1 2 564 240 39 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 0
362500 85 13143 8 5 1993 1993 504 250 981 0 1251 1098 0 1 0 2 1 4 1 9 1 3 762 32 130 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 0
285000 88 11134 8 5 1992 1993 180 1129 0 261 1402 823 0 1 0 2 1 4 1 7 1 3 713 198 30 0 0 0 0 0 6 2010 0 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 0
260000 25 4835 7 5 2004 2005 0 1298 0 190 1488 0 0 1 0 2 0 2 1 6 1 2 506 168 50 0 0 0 0 0 3 2010 1 0 0 4 3 5 3 3 1 4 8 4 3 3 3 2 0
190000 39 3515 7 5 2004 2004 0 0 0 840 840 840 0 0 0 2 1 2 1 3 0 2 588 0 111 0 0 0 0 0 1 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
155000 30 3215 7 5 2004 2004 120 280 0 320 600 600 0 0 0 2 1 2 1 4 0 2 480 0 172 0 0 0 0 0 4 2010 0 0 0 4 3 4 3 3 1 4 8 0 2 3 3 2 0
151000 30 3182 7 5 2004 2005 0 0 0 600 600 600 0 0 0 2 1 2 1 4 0 2 480 0 172 0 0 0 0 0 6 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
149500 24 2544 7 5 2004 2005 0 368 42 190 600 600 0 1 0 2 1 2 1 4 0 2 480 0 172 0 0 0 0 0 2 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
152000 24 2544 6 5 2005 2005 216 376 0 224 600 636 0 1 0 2 1 2 1 4 0 2 480 0 166 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
222000 0 4403 7 5 2009 2009 432 578 0 892 1478 0 0 1 0 2 1 2 1 7 1 2 484 0 144 0 0 0 0 0 6 2010 2 0 0 5 3 5 3 3 1 4 8 4 3 3 3 2 0
177500 0 2117 6 5 2000 2000 216 378 0 378 769 804 0 0 0 2 1 3 1 5 0 2 440 0 32 0 0 0 0 0 6 2010 0 0 0 4 3 4 3 1 1 4 8 0 1 3 3 2 0
177000 0 2980 6 5 2000 2000 1159 466 0 290 756 756 0 1 0 2 1 2 1 5 0 2 440 0 32 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 1 1 4 8 0 1 3 3 2 0
155000 24 2572 7 5 1999 1999 0 604 0 92 696 720 0 1 0 2 1 3 1 6 0 2 484 0 44 0 0 0 0 0 5 2010 0 0 0 4 3 4 3 1 1 4 8 0 1 3 3 2 0
147110 0 2403 7 5 2003 2003 0 244 0 286 530 550 0 0 0 2 1 2 1 4 0 2 496 0 50 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
267916 57 12853 8 5 2010 2010 0 1032 0 610 1418 0 0 1 0 1 1 1 1 6 1 3 852 160 192 0 224 0 0 0 4 2010 1 0 0 4 3 5 1 1 1 4 8 4 2 3 3 2 0
254000 68 7379 8 5 2000 2000 0 484 0 491 975 873 0 1 0 2 1 3 1 7 1 2 592 280 184 0 0 0 0 0 4 2010 1 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 0
155000 30 4420 8 5 1980 1980 0 728 0 0 788 0 0 1 0 1 0 1 1 3 1 2 484 133 42 0 0 0 0 0 6 2010 1 0 0 4 3 4 3 4 1 4 8 3 3 3 3 2 0
206000 40 3880 8 6 1978 1978 0 1052 0 174 1226 0 0 1 0 1 0 1 1 4 1 2 484 223 78 0 0 0 0 0 1 2010 1 0 0 4 3 4 3 4 1 4 8 3 3 3 3 2 0
130500 0 13517 6 8 1976 2005 289 533 0 192 725 754 0 0 0 2 1 3 1 6 0 2 475 0 44 0 0 0 0 0 3 2010 1 0 1 4 3 3 3 1 1 4 8 0 2 3 3 2 0
230000 80 8000 7 5 2002 2002 0 833 0 659 1492 0 0 1 0 2 0 3 1 6 1 2 596 277 137 0 0 0 0 0 4 2010 0 0 0 4 3 4 3 1 1 4 8 4 2 3 3 2 0
218500 0 10456 6 6 1967 1967 120 506 0 1323 1829 0 0 1 0 2 0 4 1 8 0 2 535 0 76 0 0 0 0 0 5 2010 1 0 0 3 3 3 3 1 1 3 8 0 2 3 3 2 0
243500 80 10791 6 5 1993 1993 0 1137 0 143 1280 1215 0 1 0 2 1 4 1 9 1 2 660 224 32 0 0 0 0 0 3 2010 0 0 0 3 3 4 3 2 1 4 8 3 1 3 3 2 0
205000 0 10603 6 7 1977 2001 28 1200 0 410 1610 0 0 1 0 2 0 3 1 6 2 2 480 168 68 0 0 0 0 0 2 2010 1 0 0 3 3 3 3 2 1 4 8 3 2 3 3 2 0
212500 0 18837 6 5 1978 1978 0 687 46 491 1287 604 0 0 1 3 0 3 1 7 1 2 678 0 69 0 0 0 0 0 4 2010 1 0 0 3 3 4 3 2 1 3 8 3 2 3 3 2 0
196500 80 10421 7 5 1988 1988 42 394 0 586 980 734 0 0 0 2 1 3 1 7 1 2 496 228 66 156 0 0 0 500 3 2010 0 0 0 3 3 4 3 1 1 3 8 3 1 3 3 2 3
197500 78 9360 6 7 1972 2006 0 982 0 179 1381 0 0 1 0 1 1 3 1 5 1 2 676 0 0 0 0 0 0 0 3 2010 0 0 0 3 3 3 3 1 1 4 8 3 2 3 3 2 0
171000 80 9600 6 6 1971 1971 0 329 0 386 930 715 0 0 0 1 2 4 1 7 0 2 441 0 78 0 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 3 8 0 2 3 3 2 2
142250 80 9600 5 5 1966 1966 172 698 0 534 1232 0 0 1 0 1 1 3 1 6 0 2 490 0 224 0 0 0 0 0 4 2010 0 0 0 3 3 3 3 1 1 3 8 0 2 3 3 2 0
143000 0 9790 6 5 1963 1963 451 569 81 678 1328 0 0 1 0 1 1 3 1 6 2 2 528 0 26 0 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 3 8 4 1 3 3 2 0
128950 77 9320 4 5 1959 1959 0 569 0 381 1225 0 0 1 0 1 1 3 1 6 0 0 0 352 0 0 0 0 0 400 1 2010 1 0 0 3 3 3 3 1 1 3 8 0 0 0 0 2 0
159000 90 9900 5 5 1966 1966 0 1059 0 150 1209 0 0 1 0 1 0 3 1 6 0 2 504 0 0 120 0 0 0 0 4 2010 0 0 0 3 3 4 3 1 1 3 8 0 2 3 3 2 0
178900 88 9680 5 6 1967 1967 268 1010 0 500 1510 0 0 1 0 2 0 3 1 6 0 2 517 0 40 0 0 204 0 0 4 2010 0 0 0 3 3 3 3 1 1 4 8 0 2 3 3 2 4
136300 0 10600 6 5 1964 1964 0 0 0 533 1131 644 0 0 0 2 0 3 1 8 0 2 480 0 172 0 0 0 0 0 5 2010 1 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 0
180500 0 14112 5 7 1964 1964 86 1014 0 138 1152 0 0 1 0 1 0 3 1 6 1 2 484 227 0 0 0 0 0 0 4 2010 1 0 0 3 3 3 3 3 1 3 8 4 2 3 3 2 0
137500 80 8800 6 7 1963 1963 156 763 0 173 1054 0 0 1 0 1 0 3 1 6 0 2 480 120 0 0 0 0 0 0 5 2010 0 0 0 3 4 3 3 4 1 4 8 0 2 3 3 2 3
84900 98 13260 5 6 1962 2001 144 1500 0 228 1728 0 0 2 0 2 0 6 2 10 0 0 0 0 0 0 0 0 0 0 1 2010 1 0 0 3 3 3 3 1 1 3 8 0 0 0 0 2 0
