Lot_Frontage,Lot_Area,Year_Built,Year_Remod_Add,Mas_Vnr_Area,BsmtFin_SF_1,BsmtFin_SF_2,Bsmt_Unf_SF,First_Flr_SF,Low_Qual_Fin_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Misc_Val,Mo_Sold,Year_Sold,Longitude,Latitude,MS_SubClass_other,MS_Zoning_Residential_Medium_Density,MS_Zoning_other,Street_other,Alley_other,Lot_Shape_Slightly_Irregular,Lot_Shape_other,Land_Contour_other,Utilities_other,Lot_Config_Inside,Lot_Config_other,Land_Slope_other,Neighborhood_other,Condition_1_other,Condition_2_other,Bldg_Type_other,House_Style_One_Story,House_Style_other,Overall_Qual_Above_Average,Overall_Qual_Good,Overall_Qual_Very_Good,Overall_Qual_other,Overall_Cond_Above_Average,Overall_Cond_Good,Overall_Cond_other,Roof_Style_Hip,Roof_Style_other,Roof_Matl_other,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Exterior_2nd_Wd.Sdng,Exterior_2nd_other,Mas_Vnr_Type_other,Exter_Qual_Typical,Exter_Qual_other,Exter_Cond_Typical,Exter_Cond_other,Foundation_CBlock,Foundation_other,Bsmt_Qual_Typical,Bsmt_Qual_other,Bsmt_Cond_other,Bsmt_Exposure_No,Bsmt_Exposure_other,BsmtFin_Type_1_GLQ,BsmtFin_Type_1_other,Heating_other,Heating_QC_Good,Heating_QC_Typical,Heating_QC_other,Central_Air_other,Electrical_other,Kitchen_Qual_Typical,Kitchen_Qual_other,Functional_other,Fireplace_Qu_Typical,Fireplace_Qu_other,Garage_Type_Detchd,Garage_Type_other,Garage_Finish_RFn,Garage_Finish_Unf,Garage_Finish_other,Paved_Drive_other,Pool_QC_other,Fence_No_Fence,Fence_other,Misc_Feature_other,Sale_Type_other,Sale_Condition_other,Gr_Liv_Area,Sale_Price
47,53504,2003,2003,603,1,0,234,1690,0,1,0,3,1,4,1,12,1,841,503,36,0,0,210,0,6,2010,-93.62655,42.061239,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3279,538000
152,12134,1988,2005,0,3,0,132,1080,0,0,0,2,0,4,1,8,0,492,325,12,0,0,0,0,6,2010,-93.6235954,42.0603514,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1752,164000
88,11394,2010,2010,350,3,0,411,1856,0,1,0,1,1,1,1,8,1,834,113,0,0,0,0,0,6,2010,-93.628804,42.05885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1856,394432
140,19138,1951,1951,0,4,0,744,864,0,0,0,1,0,2,1,4,0,400,0,0,0,0,0,0,6,2010,-93.622971,42.056673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,864,141000
85,13175,1978,1988,119,1,163,589,2073,0,1,0,2,0,3,1,7,2,500,349,0,0,0,0,0,2,2010,-93.636655,42.054453,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2073,210000
105,11751,1977,1977,480,2,0,1139,1844,0,0,0,2,0,3,1,7,1,546,0,122,0,0,0,0,1,2010,-93.633962,42.050346,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1844,190000
85,10625,1974,1974,81,3,168,0,1173,0,1,0,2,0,3,1,6,2,528,0,120,0,0,0,0,1,2010,-93.636372,42.05027,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1173,170000
0,7500,2000,2000,0,3,0,281,814,0,1,0,2,1,3,1,7,0,663,0,96,0,0,0,0,1,2010,-93.639366,42.049297,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1674,216000
0,11241,1970,1970,180,1,0,426,1004,0,1,0,1,0,2,1,5,1,480,0,0,0,0,0,700,3,2010,-93.626231,42.055147,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1004,149000
0,12537,1971,2008,0,3,0,344,1078,0,1,0,1,1,3,1,6,1,500,0,0,0,0,0,0,4,2010,-93.626537,42.054592,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1078,149900
65,8450,1968,1968,0,2,0,281,1056,0,1,0,1,0,3,1,6,1,304,0,85,184,0,0,0,7,2010,-93.628806,42.055227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1056,142000
70,8400,1970,1970,0,1,78,0,882,0,1,0,1,0,2,1,4,0,525,240,0,0,0,0,0,4,2010,-93.627112,42.053395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,126000
70,10500,1971,1971,0,1,0,432,864,0,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,4,2010,-93.622769,42.056375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,864,115000
26,5858,1999,1999,0,3,0,354,1337,0,1,0,2,0,2,1,5,1,511,203,68,0,0,0,0,6,2010,-93.624373,42.055318,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1337,184000
21,1680,1971,1971,504,6,0,327,483,0,0,0,1,1,2,1,5,0,264,275,0,0,0,0,0,2,2010,-93.627271,42.051835,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,987,96000
21,1680,1971,1971,381,7,0,525,525,0,0,0,1,1,3,1,6,0,264,0,0,0,0,0,0,3,2010,-93.62728,42.051685,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1092,88000
53,4043,1977,1977,0,1,0,709,1069,0,0,0,2,0,2,1,4,1,440,0,55,0,0,165,0,7,2010,-93.627232,42.049672,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1069,127500
24,2280,1975,1975,0,1,0,341,855,0,0,0,2,1,3,1,6,1,440,173,0,0,0,0,0,6,2010,-93.625924,42.050683,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1456,149900
24,2280,1975,1975,0,7,0,836,836,0,0,0,1,0,2,1,4,0,308,0,30,0,0,0,0,6,2010,-93.625966,42.050681,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,836,120000
102,12858,2009,2010,162,7,0,1590,1627,0,0,0,2,1,3,1,10,1,751,144,133,0,0,0,0,1,2010,-93.653201,42.062352,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2334,376162
94,12883,2009,2010,256,7,0,1544,1544,0,0,0,2,0,3,1,7,0,868,0,35,0,0,0,0,6,2010,-93.6528306,42.0612885,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1544,290941
90,11520,2005,2005,615,3,0,1588,1698,0,0,0,2,0,3,1,7,1,730,192,74,0,0,0,0,6,2010,-93.65332,42.0608079,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1698,275000
79,14122,2005,2006,240,3,0,1794,1822,0,0,0,2,0,3,1,8,1,678,0,119,0,0,0,0,2,2010,-93.652336,42.060879,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1822,259000
70,10171,2004,2004,168,3,0,1515,1535,0,0,0,2,0,3,1,7,0,532,0,0,0,0,0,0,3,2010,-93.652307,42.060298,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1535,214000
100,12919,2009,2010,760,3,0,142,2364,0,1,0,2,1,2,1,11,2,820,0,67,0,0,0,0,3,2010,-93.655051,42.059617,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2364,611657
44,6371,2009,2010,128,3,0,625,1358,0,1,0,2,0,2,1,6,1,484,192,35,0,0,0,0,6,2010,-93.650436,42.058388,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1358,224000
61,7658,2005,2005,412,3,0,1296,1752,0,1,0,2,0,2,1,6,1,576,196,82,0,0,0,0,2,2010,-93.654121,42.057164,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1752,319900
41,7132,2006,2006,178,3,0,1346,1370,0,0,0,2,0,2,1,6,1,484,120,49,0,0,0,0,4,2010,-93.649447,42.058252,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1370,205000
36,2628,2003,2003,106,7,0,764,764,0,0,0,2,1,2,1,6,0,474,0,27,0,0,0,0,6,2010,-93.651013,42.057181,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1626,175500
100,18494,2005,2005,0,7,0,1324,1324,0,0,0,2,0,3,1,6,0,430,36,23,0,0,0,0,1,2010,-93.644356,42.061928,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324,199500
43,3203,2006,2006,14,3,0,1129,1145,0,0,0,2,0,2,1,6,0,437,100,116,0,0,0,0,1,2010,-93.641635,42.06257,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1145,160000
67,13300,2004,2004,0,3,0,58,744,0,1,0,2,1,3,1,7,1,400,100,0,0,0,0,0,6,2010,-93.644076,42.061443,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1374,184500
0,7851,2002,2002,0,3,0,235,860,0,1,0,2,1,4,1,8,2,440,288,48,0,0,0,0,5,2010,-93.641487,42.060977,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1960,216500
63,8577,2004,2004,0,7,0,847,847,0,0,0,2,1,3,1,7,1,433,144,48,0,0,0,0,4,2010,-93.642447,42.061193,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1733,185088
0,9505,2001,2001,180,7,0,884,884,0,0,0,2,1,3,1,8,1,434,144,48,0,0,0,0,5,2010,-93.641337,42.057103,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2035,222500
108,14774,1999,1999,165,7,0,1393,1422,0,0,0,2,1,4,1,10,1,779,668,30,0,0,0,0,5,2010,-93.651381,42.054386,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2599,333168
60,17433,1998,1998,114,7,0,1629,1645,0,0,0,2,1,4,1,7,1,962,23,172,0,0,256,0,1,2010,-93.652334,42.053243,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2475,355000
59,10593,1996,1996,338,3,0,801,1720,0,1,0,2,0,3,1,7,1,527,240,56,154,0,0,0,3,2010,-93.654206,42.051721,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1720,260400
58,16770,1998,1998,30,7,0,1195,1195,0,0,0,2,1,4,1,7,0,486,0,81,0,0,0,0,6,2010,-93.650578,42.052437,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1839,221000
92,9215,2009,2010,0,7,0,1218,1218,0,0,0,2,0,2,1,4,0,676,0,136,0,0,0,0,4,2010,-93.649976,42.051827,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1218,204500
72,8640,2009,2009,0,3,0,732,764,0,0,0,2,1,3,1,7,0,614,169,45,0,0,0,0,6,2010,-93.650318,42.051653,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1547,215200
75,9000,2008,2008,36,3,0,488,1566,0,1,0,2,0,3,1,7,0,750,144,168,0,0,0,0,4,2010,-93.647105,42.050084,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1566,262500
100,12552,2004,2005,0,3,0,769,991,0,0,0,2,1,3,1,8,1,678,0,136,0,0,0,0,5,2010,-93.642773,42.052347,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1947,254900
84,10440,2005,2005,0,3,0,54,1468,0,1,0,2,0,2,1,6,1,528,0,102,0,0,216,0,5,2010,-93.642224,42.051429,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1468,271500
70,11920,2004,2004,122,7,0,831,831,0,0,0,2,1,3,1,8,0,484,144,68,0,0,0,0,4,2010,-93.692412,42.036113,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1659,181000
