Id,Sale_Price
781,142788
782,148113
783,145971
784,145672
785,119776
786,176381
787,303477
788,88875
789,116028
790,134734
791,127927
792,130837
793,104758
794,94123
795,125613
796,124308
797,87792
798,177749
799,106766
800,119293
801,114265
802,86440
803,89006
804,105433
805,70003
806,82509
807,94209
808,121750
809,165180
810,208896
811,139854
812,156889
813,215689
814,397873
815,183693
816,166668
817,232413
818,247431
819,249952
820,236373
821,169475
822,138604
823,160460
824,206103
825,222896
826,211165
827,140383
828,168607
829,127730
830,147364
831,276434
832,217139
833,217643
834,191469
835,243581
836,230871
837,149634
838,242656
839,200353
840,210935
841,189229
842,220419
843,201800
844,194571
845,137648
846,277863
847,91008
848,123695
849,113369
850,129063
851,125212
852,121759
853,149113
854,101299
855,169378
856,169938
857,175913
858,177542
859,236772
860,263790
861,213592
862,86347
863,57943
864,96296
865,137177
866,278052
867,136412
868,164084
869,187592
870,165203
871,130774
872,100518
873,90399
874,84495
875,161853
876,155030
