"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"11","CD","8","8","FL","0","4","A",2011-02-07,2011-02-10,2010-09-30,"FIXED_NA",999,47,1,0.566,2010-09-02,2010-09-02,1,4,2010-03-31,"","Other","10","CHD","1","K","12",746,"O",0.096,"1","East Coast","EXISTING",83,87,999,"1",2010-09-09,2010-09-09,151,151,"Middle","Middle","Middle->Middle","February","K","High","K->High","C","1",0.111260054,0.954022989,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"12","HD","8","8","FL","0","4","A",2011-02-07,2011-02-10,2010-10-15,"FIXED_NA",1388,32,0,0.8,2010-02-11,2010-08-20,0,5,2010-02-11,"","Other","10","CHD","1","PK","8",650,"L",0.3,"1","East Coast","EXISTING",40,45,1388,"1",2010-09-14,2010-09-14,146,146,"Middle","Middle","Middle->Middle","February","PK","Middle","PK->Middle","H","1",0.061538462,0.888888889,5,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"13","HD","8","8","CA","0","6","A",2011-02-12,2011-02-17,2010-10-15,"FIXED_NA",2278,10,6,0.455,2010-02-24,2010-08-27,6,1,2010-02-24,"A","Northern California","5","PUBLIC","1","6","8",670,"Q",0.136,"0","East Coast","EXISTING",22,23,2278,"1",2010-09-15,2010-09-15,150,150,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.032835821,0.956521739,1,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"14","HD","8","8","CA","0","6","A",2011-02-12,2011-02-17,2010-10-09,"FIXED_NA",2339,20,1,0.625,2010-03-01,2010-08-23,2,4,2010-02-27,"B","Northern California","5","PUBLIC","1","6","8",750,"L",0.125,"0","East Coast","EXISTING",32,36,2339,"1",2010-09-01,2010-09-01,164,164,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.042666667,0.888888889,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15","HD","5","5","CA","0","6","A",2011-02-13,2011-02-18,2010-10-15,"FIXED_NA",2235,21,1,0.636,2010-02-01,2010-08-31,2,4,2010-01-26,"","Northern California","7","PUBLIC","1","","FIXED_NA",0,"Other.Income.Level",0.091,"0","East Coast","EXISTING",33,37,2235,"1",2010-09-09,2010-09-09,157,157,"Elementary","Elementary","Elementary->Elementary","February","Undefined","Undefined","Undefined->Undefined","H","1",0,0.891891892,4,"","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"16","SG","8","8","VA","0","5","A",2011-02-15,2011-02-19,2010-10-15,"FIXED_NA",1830,22,1,0.733,2010-04-15,2010-08-31,4,3,2010-04-14,"B","Other","6","PUBLIC","1","6","8",753,"I",0.167,"0","Science","EXISTING",30,33,1830,"2",2010-04-28,2010-09-10,293,158,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","S","1",0.039840637,0.909090909,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"17","SG","8","8","VA","0","5","A",2011-02-15,2011-02-19,2010-09-24,"FIXED_NA",1805,16,4,0.552,2010-04-15,2010-08-31,5,2,2010-04-14,"B","Other","6","PUBLIC","1","6","8",626,"N",0.345,"0","Science","EXISTING",29,31,1805,"2",2010-04-24,2010-08-30,297,169,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","S","1",0.046325879,0.935483871,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"18","SG","8","8","VA","0","5","A",2011-02-15,2011-02-19,2010-10-15,"FIXED_NA",1880,5,1,0.556,2010-04-15,2010-09-02,1,1,2010-04-14,"B","Other","7","PUBLIC","1","6","8",467,"H",0.444,"0","Science","EXISTING",9,10,1880,"2",2010-05-04,2010-09-14,287,154,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","S","1",0.019271949,0.9,1,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"19","HD","8","8","IA","0","3","A",2011-02-16,2011-02-19,2010-10-15,"FIXED_NA",1393,25,2,0.658,2010-02-04,2010-08-23,3,3,2010-02-05,"B","Other","10","PUBLIC","1","6","8",360,"K",0.395,"0","East Coast","EXISTING",38,41,1393,"1",2010-09-02,2010-09-02,167,167,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.105555556,0.926829268,3,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20","HD","8","8","LA","0","4","A",2011-02-16,2011-02-19,2010-10-01,"FIXED_NA",1271,33,9,0.733,2010-03-30,2010-10-05,9,5,2010-03-30,"C","Other","1","PUBLIC","1","5","7",345,"E",0.311,"0","East Coast","NEW",45,50,1271,"2",2010-04-21,2010-09-17,301,152,"Middle","Middle","Middle->Middle","February","Elementary","Middle","Elementary->Middle","H","1",0.130434783,0.9,5,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"21","HD","8","8","MI","0","5","B",2011-02-16,2011-02-20,2010-10-15,"FIXED_NA",812,34,5,0.453,2010-02-11,2010-08-30,8,5,2010-02-10,"B","Other","10","PUBLIC","1","6","8",664,"M",0.213,"0","East Coast","EXISTING",75,80,812,"1",2010-09-14,2010-09-14,155,155,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.112951807,0.9375,5,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"22","SG","11","12","NY","1","7","A",2011-02-16,2011-02-22,2010-10-29,"FIXED_NA",2785,13,2,0.619,2009-11-13,2010-09-13,2,2,2009-11-07,"A","Other","6","PUBLIC","1","9","12",1693,"P",0.286,"0","Science","EXISTING",21,23,2785,"2",2010-09-23,2010-09-30,146,139,"High","High","High->High","February","High","High","High->High","S","0",0.012404017,0.913043478,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"23","HVP","7","7","NC","0","3","B",2011-02-17,2011-02-19,2010-10-15,"FIXED_NA",386,56,9,0.359,1900-01-01,2010-08-23,8,7,2010-08-17,"","Other","7","PUBLIC","1","","FIXED_NA",0,"Other.Income.Level",0.173,"0","East Coast","NEW",156,163,386,"1",2010-09-22,2010-09-22,148,148,"Middle","Middle","Middle->Middle","February","Undefined","Undefined","Undefined->Undefined","H","1",0,0.957055215,7,"","1","0","0","1","1","0","0","0","1","1","0","0","0","0","1"
"24","HD","8","8","OH","0","3","B",2011-02-17,2011-02-20,2010-11-01,"FIXED_NA",718,19,4,0.5,2010-03-03,2010-08-30,6,5,2010-03-02,"A","Other","10","PUBLIC","1","6","8",760,"N",0.105,"0","East Coast","EXISTING",38,43,718,"1",2010-09-02,2010-09-02,168,168,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.05,0.88372093,5,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"25","HD","7","7","MN","0","4","A",2011-02-17,2011-02-20,2010-11-01,"FR",1362,15,0,0.75,2010-03-04,2010-08-27,1,2,2010-03-04,"C","Other","10","PUBLIC","1","7","8",641,"K",0.2,"0","East Coast","EXISTING",20,22,1362,"1",2010-09-16,2010-09-16,154,154,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.031201248,0.909090909,2,"M-L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","HD","8","8","TX","0","4","A",2011-02-17,2011-02-20,2010-10-05,"FIXED_NA",1629,53,4,0.747,2010-03-01,2010-08-30,4,5,2010-02-27,"","Dallas","5","CHD","1","PK","12",700,"H",0.127,"0","East Coast","EXISTING",71,76,1629,"1",2010-09-10,2010-09-10,160,160,"Middle","Middle","Middle->Middle","February","PK","High","PK->High","H","1",0.101428571,0.934210526,5,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"27","HD","8","8","AR","0","4","A",2011-02-17,2011-02-21,2010-10-15,"FIXED_NA",1899,9,1,0.818,2010-01-22,2010-09-15,0,1,2010-01-22,"","Other","5","Private non-Christian","1","PK","12",1300,"P",0.182,"0","East Coast","EXISTING",11,12,1899,"1",2010-09-22,2010-09-22,148,148,"Middle","Middle","Middle->Middle","February","PK","High","PK->High","H","1",0.008461538,0.916666667,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"28","HD","8","8","MI","0","5","B",2011-02-18,2011-02-22,2010-10-29,"FIXED_NA",662,50,3,0.27,2010-04-05,2010-09-13,5,12,2010-02-18,"A","Other","5","PUBLIC","1","6","8",685,"O",0.011,"0","East Coast","EXISTING",185,197,662,"1",2010-09-27,2010-09-27,144,144,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.270072993,0.939086294,12,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"29","HD","FIXED_NA","FIXED_NA","MI","0","4","B",2011-02-18,2011-02-22,2010-10-29,"FIXED_NA",684,27,5,0.5,2010-04-20,2010-08-26,9,4,2010-03-22,"A","Other","5","PUBLIC","1","6","8",702,"Q",0.019,"0","East Coast","EXISTING",54,58,684,"2",2010-09-14,2010-09-23,157,148,"Undefined","Undefined","Undefined->Undefined","February","Middle","Middle","Middle->Middle","H","0",0.076923077,0.931034483,4,"M-L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"30","HD","FIXED_NA","FIXED_NA","MI","0","4","B",2011-02-18,2011-02-22,2010-10-29,"FIXED_NA",677,39,1,0.52,2010-04-20,2010-08-17,4,6,2010-03-22,"A","Other","5","PUBLIC","1","6","8",698,"Q",0.107,"0","East Coast","EXISTING",75,81,677,"1",2010-10-07,2010-10-07,134,134,"Undefined","Undefined","Undefined->Undefined","February","Middle","Middle","Middle->Middle","H","0",0.107449857,0.925925926,6,"M-L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"31","HD","8","8","MI","0","5","B",2011-02-18,2011-02-22,2010-10-01,"FIXED_NA",726,27,1,0.587,2010-03-15,2010-09-07,3,4,2010-03-12,"A","Other","5","PUBLIC","1","6","8",604,"Q",0.196,"0","East Coast","EXISTING",46,50,726,"2",2010-05-13,2010-09-21,281,150,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.07615894,0.92,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"32","HD","8","8","IL","0","3","A",2011-02-19,2011-02-21,2010-10-01,"FIXED_NA",1115,78,5,0.796,2010-04-08,2010-08-11,7,10,2010-01-27,"A","Other","10","PUBLIC","0","6","8",597,"Q",0.337,"0","East Coast","EXISTING",98,108,1115,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.164154104,0.907407407,10,"M-L","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"33","HD","8","8","OH","1","3","A",2011-02-19,2011-02-21,2010-10-15,"FIXED_NA",1186,10,0,0.833,2010-02-11,2010-08-20,0,1,2010-02-11,"","Other","10","Catholic","0","K","8",500,"J",0,"0","East Coast","EXISTING",12,13,1186,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","February","K","Middle","K->Middle","H","1",0.024,0.923076923,1,"S-M","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"34","HD","7","8","IL","0","3","A",2011-02-19,2011-02-21,2010-10-23,"FIXED_NA",999,12,0,0.857,2010-02-15,2010-08-27,0,2,2010-02-16,"B","Other","10","PUBLIC","1","7","8",320,"L",0.286,"0","East Coast","EXISTING",14,16,999,"1",2010-09-14,2010-09-14,158,158,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","0",0.04375,0.875,2,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"35","HD","8","8","IN","0","3","A",2011-02-19,2011-02-21,2010-10-20,"FIXED_NA",1174,28,5,0.718,2010-03-03,2010-08-10,7,4,2010-03-02,"A","Other","5","PUBLIC","1","7","8",794,"P",0.308,"0","East Coast","EXISTING",39,43,1174,"1",2010-08-18,2010-08-18,185,185,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.049118388,0.906976744,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"36","HD","8","8","IN","0","3","A",2011-02-19,2011-02-21,2010-10-20,"FIXED_NA",1174,72,13,0.686,2010-03-02,2010-08-10,15,7,2010-03-02,"A","Other","5","PUBLIC","1","7","8",955,"P",0.229,"0","East Coast","EXISTING",105,112,1174,"1",2010-08-18,2010-08-18,185,185,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.109947644,0.9375,7,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"37","HD","8","8","IN","0","3","A",2011-02-19,2011-02-21,2010-10-20,"FIXED_NA",1174,37,3,0.804,2010-03-03,2010-08-10,3,3,2010-03-02,"A","Other","10","PUBLIC","1","7","8",966,"P",0.283,"0","East Coast","EXISTING",46,49,1174,"1",2010-08-17,2010-08-17,186,186,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.047619048,0.93877551,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"38","SM","6","8","CA","0","5","A",2011-02-19,2011-02-23,2010-10-15,"FIXED_NA",2202,21,1,0.84,2010-04-05,2010-08-17,1,2,2010-04-02,"","Northern California","4","Private non-Christian","1","PK","8",321,"Q",0.36,"0","Science","NEW",25,27,2202,"1",2010-08-31,2010-08-31,172,172,"Middle","Middle","Middle->Middle","February","PK","Middle","PK->Middle","S","0",0.07788162,0.925925926,2,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"39","HC","8","8","CA","0","6","A",2011-02-19,2011-02-24,2010-10-15,"FIXED_NA",2631,97,30,0.669,2010-02-04,2010-09-01,37,14,2010-01-19,"B","Southern California","5","PUBLIC","1","7","12",2393,"Q",0.2,"0","East Coast","EXISTING",145,159,2631,"2",2010-05-11,2010-10-07,284,135,"Middle","Middle","Middle->Middle","February","Middle","High","Middle->High","H","1",0.060593397,0.911949686,14,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"40","HD","8","8","CA","0","5","A",2011-02-19,2011-02-24,2010-10-15,"FIXED_NA",2049,43,3,0.606,2010-02-25,2010-08-24,5,9,2010-02-24,"A","Northern California","5","PUBLIC","1","6","8",783,"Q",0.268,"1","East Coast","EXISTING",71,80,2049,"1",2010-09-09,2010-09-09,163,163,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.090676884,0.8875,9,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"41","HD","8","8","CA","0","6","A",2011-02-19,2011-02-24,2010-10-15,"FIXED_NA",2469,14,2,0.778,2010-03-10,2010-08-31,2,1,2010-03-10,"","Northern California","7","PUBLIC","1","","FIXED_NA",0,"",0,"0","East Coast","EXISTING",18,19,2469,"2",2010-05-21,2010-10-05,274,137,"Middle","Middle","Middle->Middle","February","Undefined","Undefined","Undefined->Undefined","H","1",0,0.947368421,1,"","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"42","HC","8","8","CA","0","6","A",2011-02-19,2011-02-25,2010-10-15,"FIXED_NA",2366,36,4,0.75,2010-02-08,2010-08-23,3,3,2010-01-30,"B","Northern California","5","PUBLIC","1","6","8",700,"Other.Income.Level",0.146,"0","East Coast","EXISTING",48,51,2366,"2",2010-03-10,2010-09-02,346,170,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.068571429,0.941176471,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"43","HC","8","8","CA","1","6","A",2011-02-20,2011-02-25,2010-10-25,"FIXED_NA",2559,37,8,0.617,2010-05-07,2010-08-19,11,7,2010-05-07,"A","Northern California","5","PUBLIC","1","6","8",700,"Q",0.233,"0","East Coast","EXISTING",60,67,2559,"1",2010-10-01,2010-10-01,142,142,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.085714286,0.895522388,7,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"44","HC","8","8","CA","0","6","A",2011-02-20,2011-02-25,2010-09-30,"FIXED_NA",2907,18,3,0.667,2010-01-28,2010-09-02,5,3,2010-01-27,"A","Northern California","4","PUBLIC","1","3","5",430,"Q",0.222,"0","East Coast","EXISTING",27,30,2907,"2",2010-05-17,2010-09-14,279,159,"Middle","Middle","Middle->Middle","February","Elementary","Elementary","Other.GroupGradeType","H","1",0.062790698,0.9,3,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"45","HC","7","8","CA","0","7","A",2011-02-20,2011-02-26,2010-10-05,"FIXED_NA",2949,31,1,0.775,2010-03-04,2010-08-24,0,4,2010-03-03,"","Southern California","5","Private non-Christian","1","K","8",562,"P",0.175,"0","East Coast","EXISTING",40,44,2949,"2",2010-09-30,2011-01-13,143,38,"Middle","Middle","Middle->Middle","February","K","Middle","K->Middle","H","0",0.071174377,0.909090909,4,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"46","CD","8","8","TX","0","5","A",2011-02-21,2011-02-25,2010-10-15,"FR",1399,25,0,0.758,2010-03-26,2010-08-26,0,2,2010-03-26,"","Dallas","10","CHD","1","PK","12",522,"L",0.273,"0","East Coast","EXISTING",33,35,1399,"1",2010-04-13,2010-04-13,314,314,"Middle","Middle","Middle->Middle","February","PK","High","PK->High","C","1",0.063218391,0.942857143,2,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","HN","FIXED_NA","FIXED_NA","OH","0","4","B",2011-02-21,2011-02-25,2010-11-10,"FIXED_NA",1190,19,3,0.826,1900-01-01,2010-09-21,2,3,2010-09-20,"A","Other","Other.CRM.Segment","PUBLIC","0","9","12",364,"M",0.174,"0","East Coast","NEW",23,26,1190,"0",1900-01-01,1900-01-01,0,0,"Undefined","Undefined","Undefined->Undefined","February","High","High","High->High","H","0",0.063186813,0.884615385,3,"S-M","0","1","1","1","1","0","0","0","0","0","1","1","1","1","0"
"48","HD","8","8","OH","0","3","A",2011-02-22,2011-02-24,2010-06-01,"SA",935,4,0,0.121,2010-05-25,2010-05-25,2,3,2010-05-05,"A","Other","10","PUBLIC","1","7","8",351,"M",0,"0","East Coast","EXISTING",33,36,935,"1",2011-09-14,2011-09-14,-204,-204,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.094017094,0.916666667,3,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","HD","8","8","CA","0","5","A",2011-02-22,2011-02-26,2010-10-22,"FIXED_NA",2077,2,3,0.5,2010-05-19,2010-09-03,3,1,2010-05-12,"A","Northern California","5","PUBLIC","1","6","8",1306,"Q",0,"0","East Coast","EXISTING",4,5,2077,"2",2010-09-14,2010-09-30,161,145,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.003062787,0.8,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"50","HD","8","8","CA","0","5","A",2011-02-22,2011-02-26,2010-10-22,"FIXED_NA",2077,8,6,0.727,2010-05-19,2010-09-03,4,1,2010-05-12,"A","Northern California","5","PUBLIC","1","6","8",1008,"Q",0.273,"0","East Coast","EXISTING",11,12,2077,"1",2010-09-30,2010-09-30,145,145,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.010912698,0.916666667,1,"L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"51","HS","4","4","CA","0","3","A",2011-02-23,2011-02-25,2010-09-24,"FIXED_NA",874,9,0,0.563,2010-04-05,2010-08-24,0,1,2010-03-03,"","Southern California","5","Private non-Christian","0","PK","8",652,"O",0.125,"1","CA History","EXISTING",16,17,874,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","February","PK","Middle","PK->Middle","H","1",0.024539877,0.941176471,1,"M-L","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
